subject,course_number,instructor_name,first_seen_term,last_seen_term
ACCT,A101,Adam Moore,Fall 2025,Fall 2025
ACCT,A101,Arabian Morgan,Intersession/Spring 2023,Fall 2026
ACCT,A101,Cyndee Ely,Intersession/Spring 2023,Fall 2026
ACCT,A101,Douglas Johnson,Intersession/Spring 2023,Fall 2026
ACCT,A101,Jeanne Neil,Intersession/Spring 2023,Winter/Spring 2025
ACCT,A101H,Arabian Morgan,Fall 2025,Fall 2026
ACCT,A102,Arabian Morgan,Intersession/Spring 2023,Fall 2026
ACCT,A102,Cyndee Ely,Intersession/Spring 2024,Fall 2025
ACCT,A102,Douglas Johnson,Intersession/Spring 2023,Fall 2026
ACCT,A102,Jeanne Neil,Intersession/Spring 2023,Winter/Spring 2026
ACCT,A102H,Douglas Johnson,Fall 2025,Fall 2026
ACCT,A110,Adam Moore,Intersession/Spring 2023,Fall 2026
ACCT,A110,Cyndee Ely,Fall 2023,Fall 2023
ACCT,A110,Douglas Johnson,Intersession/Spring 2023,Summer 2026
ACCT,A111,Adam Moore,Fall 2024,Fall 2026
ACCT,A111,Miklos Ringbauer,Fall 2023,Fall 2025
ACCT,A112,Adam Moore,Winter/Spring 2025,Winter/Spring 2025
ACCT,A116,Adam Moore,Winter/Spring 2025,Winter/Spring 2025
ACCT,A116,Miklos Ringbauer,Intersession/Spring 2023,Intersession/Spring 2024
ACCT,A116,Peter Mitchell,Winter/Spring 2026,Winter/Spring 2026
ACCT,A118,Douglas Johnson,Intersession/Spring 2023,Summer 2026
ACCT,A119,Douglas Johnson,Summer 2026,Summer 2026
ACCT,A119,Peter Mitchell,Intersession/Spring 2024,Intersession/Spring 2024
ACCT,A210,Peter Mitchell,Fall 2023,Fall 2026
ACCT,A212,Peter Mitchell,Fall 2023,Fall 2026
ACCT,A213,Peter Mitchell,Intersession/Spring 2023,Winter/Spring 2026
ACCT,A215,Adam Moore,Intersession/Spring 2024,Intersession/Spring 2024
ACCT,A218,Adam Moore,Fall 2023,Winter/Spring 2026
