subject,course_number,course_title,first_seen_term,last_seen_term
ACCT,A101,Financial Accounting,Intersession/Spring 2023,Fall 2026
ACCT,A101H,Financial Accounting Honors,Fall 2025,Fall 2026
ACCT,A102,Managerial Accounting,Intersession/Spring 2023,Fall 2026
ACCT,A102H,Managerial Accounting Honors,Fall 2025,Fall 2026
ACCT,A110,Excel for Accounting & Finance,Intersession/Spring 2023,Fall 2026
ACCT,A111,Individual Income Tax,Fall 2023,Fall 2026
ACCT,A112,Acct with QuickBooks,Winter/Spring 2025,Winter/Spring 2025
ACCT,A116,Business Taxation,Intersession/Spring 2023,Winter/Spring 2026
ACCT,A118,Accounting Ethics,Intersession/Spring 2023,Summer 2026
ACCT,A119,Payroll,Intersession/Spring 2024,Summer 2026
ACCT,A210,Cost Accounting,Fall 2023,Fall 2026
ACCT,A212,Intermediate Accounting 1,Fall 2023,Fall 2026
ACCT,A213,Intermediate Accounting 2,Intersession/Spring 2023,Winter/Spring 2026
ACCT,A215,Governmental Accounting,Intersession/Spring 2024,Intersession/Spring 2024
ACCT,A218,Auditing,Fall 2023,Winter/Spring 2026
ADLT,A040N,Spanish for Daily Life,Fall 2026,Fall 2026
ADLT,A041N,Spanish for Travel,Fall 2026,Fall 2026
ALH,A001N,Personal Care Aide I,Fall 2023,Fall 2026
ALH,A002N,Personal Care Aide II,Fall 2023,Fall 2026
ALH,A009N,PCA: Assist Alzheimer/Dementia,Fall 2023,Fall 2026
ALH,A010,Health Occupations,Intersession/Spring 2023,Fall 2026
ALH,A012,Health Occupations for DA & MA,Intersession/Spring 2023,Fall 2025
ALH,A111,Medical Terminology,Intersession/Spring 2023,Fall 2026
ALH,A112,Intro to Autism/ABA,Intersession/Spring 2023,Winter/Spring 2026
ALH,A115,Patient Care,Fall 2023,Fall 2026
ALH,A120,Human Diseases,Intersession/Spring 2023,Fall 2026
ALH,A130,Applied Pharmacology,Intersession/Spring 2023,Fall 2026
AMT,A150,Gen Maintenance Records FAA,Fall 2023,Fall 2026
AMT,A151,General Electricity FAA,Fall 2023,Fall 2026
AMT,A152,Gen Airfrm/Pwrplnt Fuel FAA,Summer 2023,Fall 2026
AMT,A153,Gen Mat/Processes/Weld FAA,Intersession/Spring 2023,Fall 2026
AMT,A154,Gen Wgt/Bal/Math/Physcs FAA,Intersession/Spring 2023,Fall 2026
AMT,A155,Gen Blueprint Read/Drft FAA,Intersession/Spring 2023,Winter/Spring 2026
AMT,A160,Airframe & Pwrplnt Elec FAA,Intersession/Spring 2023,Winter/Spring 2026
AMT,A161,Arfrm Sheet Mtl/Cmposte FAA,Intersession/Spring 2023,Winter/Spring 2026
AMT,A162,Airframe Asmbly/Rig/ECS FAA,Intersession/Spring 2023,Fall 2026
AMT,A163,Arfrm Hyd & Lndg Gear FAA,Intersession/Spring 2023,Summer 2026
AMT,A170,Pwrplnt Recip Engines FAA,Fall 2023,Fall 2026
AMT,A171,Pwrplnt Fuel/Mtr/Exhst FAA,Fall 2023,Fall 2026
AMT,A172,Pwrplnt Prplr/Lube Sys FAA,Intersession/Spring 2023,Winter/Spring 2026
AMT,A173,Pwrplnt Gas Turbine Eng FAA,Intersession/Spring 2023,Fall 2026
AMT,A174,Powerplant Ignition Sys FAA,Intersession/Spring 2023,Fall 2026
AMT,A180,Airframe Instrumentatn FAA,Intersession/Spring 2023,Summer 2026
AMT,A181,Arfrm Comm/Nvgation Sys FAA,Intersession/Spring 2023,Winter/Spring 2026
AMT,A182,Avionics Install Practices,Fall 2023,Winter/Spring 2026
AMT,A184,Avionics Install/Trblshtg,Intersession/Spring 2023,Fall 2026
AMT,A188,GROL Avionic Rules/Regs,Fall 2025,Fall 2025
AMT,A290,Helicopter Maint FAA,Fall 2023,Fall 2023
ANTH,A100,Cultural Anthropology,Intersession/Spring 2023,Fall 2026
ANTH,A100H,Cultural Anthro Honors,Fall 2023,Fall 2026
ANTH,A102,Native American,Fall 2023,Winter/Spring 2026
ANTH,A185,Intro to Bio Anthropology,Intersession/Spring 2023,Fall 2026
ANTH,A185H,Physical Anthropology Honors,Intersession/Spring 2023,Intersession/Spring 2024
ANTH,A185L,Bio Anthropology Lab,Intersession/Spring 2023,Fall 2026
ANTH,A187,Introduction Primate Studies,Fall 2023,Fall 2026
ANTH,A188,Intro to Forensic Anthropology,Fall 2025,Fall 2026
ANTH,A190,Intro to Linguistic Anth,Intersession/Spring 2023,Fall 2026
ANTH,A220,"Magic, Witchcraft, and Religio",Intersession/Spring 2023,Fall 2026
ANTH,A280,Introduction to Archaeology,Intersession/Spring 2023,Fall 2026
APT,A110,Intro to Airport Operations,Fall 2023,Fall 2026
APT,A115,Intro to Flight Operations,Fall 2023,Fall 2026
APT,A120,Private Pilot Flight Lab,Intersession/Spring 2023,Fall 2026
APT,A121,Instrument Pilot Flight Lab,Intersession/Spring 2023,Fall 2026
APT,A122,Commercial Pilot Flight Lab,Intersession/Spring 2023,Fall 2026
APT,A123,Privat Pilot Advanc Flight Lab,Intersession/Spring 2023,Fall 2026
APT,A124,Adv Commercl Pilot Flight Lab,Intersession/Spring 2023,Fall 2026
APT,A126,Multi-Engine Aircraft Ops Lab,Winter/Spring 2026,Winter/Spring 2026
APT,A127,Adv Instrmnt Pilot Flight Lab,Intersession/Spring 2023,Fall 2026
APT,A128,Flight Instructor Flight Lab,Intersession/Spring 2023,Fall 2026
APT,A129,Adv Flght Instructor Flght Lab,Intersession/Spring 2023,Fall 2026
APT,A130,Private Pilot Grnd Sch,Intersession/Spring 2023,Fall 2026
APT,A131,Intro to Unmanned Aircraft Sys,Intersession/Spring 2023,Fall 2026
APT,A132,Aviation Navigation,Intersession/Spring 2023,Winter/Spring 2026
APT,A133,Aviation-Meteorology,Intersession/Spring 2023,Fall 2026
APT,A134,Av Instrument Grnd Schl,Intersession/Spring 2023,Fall 2026
APT,A138,Aerodynamics,Intersession/Spring 2023,Fall 2026
APT,A139,Commercl Pilot Grnd Sch,Intersession/Spring 2023,Fall 2026
APT,A140,Flt Instructor Grnd Sch,Intersession/Spring 2023,Winter/Spring 2026
APT,A141,Instrument Flight Simulatr Lab,Intersession/Spring 2023,Fall 2026
APT,A143,Introduction to Air Trfc Cntrl,Fall 2026,Fall 2026
APT,A145,Airline Transport Pilot Ground,Intersession/Spring 2023,Fall 2026
APT,A146,Advanced Aircraft & Engines,Fall 2023,Fall 2026
APT,A151,Unmanned Aircraft Systems Lab,Intersession/Spring 2023,Fall 2026
APT,A160,Introduction to UAS Automation,Fall 2026,Fall 2026
APT,A173,Aircraft Recog and Perform,Fall 2026,Fall 2026
APT,A180,Basic Air Transportatn,Intersession/Spring 2023,Winter/Spring 2026
APT,A192,Human Fctrs/Crew Resource Mgmt,Fall 2023,Fall 2026
APT,A199,Current Topics Aviation/Aerosp,Fall 2026,Fall 2026
ARCH,A001N,Design/Build 1 for Arch NC,Intersession/Spring 2023,Fall 2026
ARCH,A004N,Intro FrameCAD Steel Framng NC,Intersession/Spring 2023,Fall 2026
ARCH,A006N,Accesory Dwelling Unit Desn NC,Intersession/Spring 2023,Fall 2026
ARCH,A007N,Tiny House Design Noncredit,Intersession/Spring 2023,Winter/Spring 2026
ARCH,A008N,Solar Panels Small Projects NC,Intersession/Spring 2023,Fall 2026
ARCH,A021N,FrameCAD Studio 1 NC,Intersession/Spring 2023,Fall 2026
ARCH,A022N,FrameCAD Studio 2 NC,Intersession/Spring 2023,Fall 2026
ARCH,A041N,FrameCAD Workshop 1 NC,Intersession/Spring 2023,Fall 2026
ARCH,A042N,FrameCAD Workshop 2 NC,Winter/Spring 2025,Fall 2026
ARCH,A043N,FrameCAD Workshop 3 NC,Fall 2025,Fall 2026
ARCH,A101,Intro Environ Sustainability,Intersession/Spring 2023,Fall 2026
ARCH,A102,Intro to Environmental Studies,Intersession/Spring 2023,Fall 2024
ARCH,A104,Intro FrameCAD Steel Framing,Intersession/Spring 2023,Fall 2026
ARCH,A105,Drawing/Design Visualization 1,Intersession/Spring 2023,Fall 2026
ARCH,A106,Accessory Dwelling Unit Design,Intersession/Spring 2023,Fall 2026
ARCH,A107,Tiny House Design,Intersession/Spring 2023,Winter/Spring 2026
ARCH,A108,Solar Panels for Small Project,Intersession/Spring 2023,Fall 2026
